content,timestamp,district,category,sentiment,likes,reposts
"湖边的樱花开了，粉白相间好不美丽。周末记得来打卡！",2023-03-28 09:45:13,玄武区,自然环境,正面,312,57
"老门东的小吃真是一绝，豆腐脑、鸭血粉丝汤、牛肉锅贴，样样都想来一份！",2023-09-14 12:20:45,秦淮区,文化遗产,正面,5,5
"今天尝试了共享单车,感觉很方便。希望能一直保持良好运营。",2023-05-09 12:45:37,建邺区,城市交通,正面,5,3
"小区周边的早餐店选择太少，上班族很不方便。",2023-04-11 07:20:43,江宁区,社会动态,负面,5,2
"新修的滨江步道真漂亮,晚上散步很舒服。",2023-03-05 19:30:27,建邺区,建成环境,正面,1,1
"老城墙的夜景照明改造后，古今交融很有韵味。",2023-03-29 19:45:37,玄武区,文化遗产,正面,1,1
"城市体育公园的设施很齐全，周末去锻炼的人越来越多。",2023-11-29 09:45:37,江宁区,社会动态,正面,8,4
"社区组织的健康讲座很有用。",2023-03-23 16:20:51,玄武区,社会动态,正面,3,1
"新修的人行道很平整,走起来舒服。",2023-05-11 15:50:22,玄武区,建成环境,正面,7,7
"参观了大屠杀纪念馆，沉重的历史让人深思，勿忘国耻。",2023-12-13 14:55:22,建邺区,文化遗产,中性,4,4
"城墙根下的咖啡馆真有味道，古今交融的感觉很特别。",2023-04-17 16:45:38,玄武区,社会动态,正面,2,2
"长江大桥的车流量真大，希望能多开辟几条过江通道。",2023-11-14 17:50:15,鼓楼区,城市交通,中性,1,1
"听说紫金山天文台开放参观了，改天一定要去看看。",2023-06-17 20:40:11,玄武区,社会动态,中性,11,11
"共享单车堆积如山,影响市容。",2023-06-08 16:55:52,鼓楼区,城市交通,负面,8,8
"城墙公园的春花开得正艳,很适合踏青。",2023-04-05 15:40:36,玄武区,自然环境,正面,15,15
"公交车专用道被占用严重，公交出行效率低。",2023-10-03 17:20:41,鼓楼区,城市交通,负面,2,2
"新建的垃圾分类亭很实用，方便了居民分类。",2023-07-16 09:35:26,栖霞区,建成环境,正面,2,2
"长江大桥的定期维护很及时，保障了通行安全。",2023-05-14 16:10:53,鼓楼区,建成环境,正面,18,8
"今天去了科技馆，里面的互动展览太有意思了，孩子们都玩疯了！",2023-08-22 11:30:52,建邺区,社会动态,正面,30,8
"城市街心公园改造后很漂亮，居民们都喜欢来这里休闲。",2023-05-25 15:30:27,雨花台区,建成环境,正面,7,7
"小区的路灯坏了好几个,晚上有点暗。",2023-04-19 19:30:33,鼓楼区,建成环境,负面,52,47
"小区的健身器材又坏了,也没人修。这种公共设施要加强管理啊。",2023-11-26 09:45:13,秦淮区,社会动态,负面,4,3
"公司团建活动还挺有意思的。",2023-11-12 19:15:24,秦淮区,社会动态,正面,7,5
"长江大桥的日落真美，站在桥上看江景，感觉整个人都放松了。",2023-09-25 18:20:46,鼓楼区,自然环境,正面,1,1
"新开的小店东西还不错。",2023-05-03 15:50:24,鼓楼区,经济因素,正面,9,6
"新开的步行街很有特色，逛街购物的好去处。",2023-05-16 17:20:36,秦淮区,经济因素,正面,3,3
"看到有人闯红灯,这也太危险了吧。",2023-05-17 18:10:53,鼓楼区,城市交通,负面,8,8
"地铁换乘的步行距离太长了,很不方便。",2023-07-21 08:15:36,鼓楼区,城市交通,负面,4,4
"参加了古城墙上的音乐会,别有一番风味。",2023-10-03 19:40:51,玄武区,文化遗产,正面,4,2
"小区里新开了家便利店,买东西方便多了。",2023-04-20 21:10:52,雨花台区,经济因素,正面,11,8
"路边的停车位总是不够用。",2023-09-24 18:15:36,江宁区,城市交通,负面,3,3
"公交专用道被占用严重,公交车总是不准时。",2023-04-19 07:55:39,鼓楼区,城市交通,负面,8,3
"音乐会很精彩,感觉不错。",2023-06-11 21:40:52,建邺区,文化遗产,正面,9,2
"今天新街口好堵啊，希望能优化一下交通规划。#交通拥堵",2023-12-18 17:40:13,玄武区,城市交通,负面,5,4
"小区里垃圾乱扔,环境卫生差。",2023-03-25 09:05:38,雨花台区,社会动态,负面,3,3
"小区楼下的广场舞噪音扰民，睡眠质量直线下降。",2023-09-05 21:05:28,雨花台区,社会动态,负面,4,4
"主城区的停车费太贵了,去商场都不愿意开车。",2023-04-13 14:50:27,鼓楼区,经济因素,负面,18,18
"城市绿道网络越来越完善，适合周末骑行。",2023-03-11 16:25:19,江宁区,建成环境,正面,2,2
"参加了社区组织的义工活动，感受到了邻里间的温暖。",2023-05-27 09:15:46,雨花台区,社会动态,正面,7,7
"参加了运河边的龙舟赛,气氛很热烈。",2023-06-22 14:50:39,栖霞区,文化遗产,正面,3,3
"公园里跑步感觉很舒服。",2023-04-14 07:35:43,玄武区,自然环境,正面,8,3
"主城区的房价还在上涨，年轻人压力大。",2023-04-06 15:35:51,鼓楼区,经济因素,负面,20,20
"电瓶车占用人行道充电，严重影响行人通行。",2023-07-08 11:45:13,鼓楼区,城市交通,负面,6,3
"今天去了老山森林公园，空气清新，景色宜人，周末好去处。",2023-04-29 10:30:58,江宁区,自然环境,正面,6,1
"莫愁湖公园的荷花开了，粉白相间，煞是好看！",2023-07-08 10:10:56,建邺区,自然环境,正面,51,51
"参加了社区组织的义务植树活动,感觉不错。",2023-08-12 09:50:47,建邺区,社会动态,正面,6,6
"共享单车的信用积分制度不合理,使用很不方便。",2023-03-01 11:30:55,玄武区,城市交通,负面,8,8
"网购物流太慢了,体验不好。",2023-08-02 11:50:46,建邺区,经济因素,负面,17,4
"今天去了总统府，感受到了近代历史的沧桑变迁。",2023-06-25 13:20:45,玄武区,文化遗产,正面,4,4
"装修噪音严重影响日常生活。",2023-08-07 11:40:37,建邺区,社会动态,负面,29,2
"城市绿化做得不错，空气质量明显改善。",2023-10-05 15:10:29,雨花台区,自然环境,正面,5,1
"晚上和朋友去听了场音乐会,很放松。生活需要这样的调剂。",2023-08-09 22:25:47,建邺区,文化遗产,正面,7,6
"今天在公园跑步,空气质量不错。这样的好天气真该多一些。",2023-04-05 07:15:42,玄武区,自然环境,正面,6,3
"今天的长江大桥堵车严重，可能是因为修路吧，大家出行要注意。",2023-10-17 18:10:45,鼓楼区,城市交通,中性,7,4
"今天参加了社区组织的厨艺比赛,认识了不少邻居,氛围很好。",2023-07-16 16:10:54,秦淮区,社会动态,正面,8,1
"新的科技园区真不错，感觉南京的创新力度越来越大了。",2023-03-25 14:15:29,江宁区,经济因素,正面,5,5
"今天去看了梅花山，梅花绽放的景象真是美不胜收！",2023-02-11 11:35:49,栖霞区,自然环境,正面,4,4
"垃圾分类真麻烦,搞不太懂。",2023-09-03 08:55:29,江宁区,社会动态,负面,7,7
"新增的社区体育设施很棒，方便居民健身。",2023-10-26 17:30:47,江宁区,社会动态,正面,19,6
"自己做的晚餐很合胃口。",2023-09-29 19:40:28,建邺区,社会动态,正面,8,3
"今天去公园跑步,遇到不少人。大家都在努力健身,真好。",2023-04-12 06:35:17,玄武区,社会动态,正面,7,5
"新的共享单车投放了，既环保又方便，点赞！",2023-04-10 08:45:29,玄武区,城市交通,正面,9,9
"广场舞音乐太吵了,影响休息。",2023-07-28 21:10:52,雨花台区,社会动态,负面,3,1
"遛狗不牵绳真的很不负责任。",2023-04-17 08:10:43,雨花台区,社会动态,负面,1,1
"今天听了个讲座,收获不少。",2023-03-21 14:20:37,玄武区,社会动态,正面,2,2
"今天去了江北新区，高楼大厦鳞次栉比，发展真快！",2023-05-12 14:50:33,浦口区,经济因素,正面,3,3
"参加了社区举办的垃圾分类活动，大家环保意识都提高了。",2023-08-12 09:45:30,雨花台区,社会动态,正面,6,3
"城市阳台改造工程很赞，为市民提供了休闲好去处。",2023-09-18 15:40:52,鼓楼区,建成环境,正面,3,3
"城西的新商圈终于开业了，终于不用总往市中心跑了，购物更方便了。",2023-12-05 19:05:27,江宁区,经济因素,正面,1,1
"图书馆环境真好,学习效率高。",2023-05-19 13:25:52,玄武区,社会动态,正面,17,13
"路灯坏了好几天没人修,晚上回家不方便。",2023-05-28 20:30:49,秦淮区,社会动态,负面,13,5
"新的公园湿地保护得很好,生态环境改善明显。",2023-06-18 09:25:49,江宁区,自然环境,正面,11,1
"参加了今天的创业分享会，年轻人的激情真是令人钦佩。",2023-08-19 15:30:44,江宁区,经济因素,正面,6,4
"阅江楼的风景真是绝了，江景配古楼，美得不要不要的！",2023-05-01 17:30:42,建邺区,文化遗产,正面,2,2
"最近汽油价格又涨了,开车成本越来越高。什么时候是个头啊。",2023-09-14 17:55:22,江宁区,经济因素,负面,8,1
"新开的面馆味道不错。",2023-07-20 13:45:57,鼓楼区,经济因素,正面,7,7
"老城南的慢生活很有韵味，仿佛回到了从前。",2023-08-26 16:55:33,秦淮区,文化遗产,正面,12,8
"新建的社区卫生服务中心很方便，医疗资源下沉。",2023-09-29 10:20:44,雨花台区,社会动态,正面,5,5
"南京博物院新展览很精彩,值得一看。",2023-09-05 11:40:32,玄武区,文化遗产,正面,7,2
"长江大桥的夜景灯光秀真是太美了!",2023-11-03 20:10:52,鼓楼区,建成环境,正面,4,4
"第一次骑共享单车,感觉还不错。",2023-05-09 12:45:37,建邺区,城市交通,正面,7,3
"今天去了新开的科技展览馆，里面的VR体验太酷了！感觉科技发展真快。",2023-07-03 15:30:22,江宁区,经济因素,正面,3,3
"小区内私装地锁现象增多，影响其他人停车。",2023-07-29 08:05:33,江宁区,社会动态,负面,10,10
"新开的美术馆展览很有意思。",2023-10-20 13:45:19,雨花台区,文化遗产,正面,6,6
"城西的新商圈规划不够合理,交通压力大。",2023-08-17 16:55:29,江宁区,建成环境,负面,1,1
"共享单车入栏结算政策改变，使用成本上升。",2023-08-02 09:45:47,江宁区,经济因素,负面,7,7
"公交车总是不准时,影响出行。",2023-09-16 07:25:49,江宁区,城市交通,负面,5,5
"社区厨艺比赛挺有意思的。",2023-05-26 14:30:47,雨花台区,社会动态,正面,43,14
"社区举办的插花活动很有意思,认识了不少邻居,挺开心的。",2023-07-22 15:40:19,雨花台区,社会动态,正面,3,3
"共享单车投放过量，占用了大量人行道空间。",2023-11-17 10:25:13,鼓楼区,城市交通,负面,4,4
"枫叶红了，层林尽染，美不胜收！秋天的南京真是太美了。",2023-11-12 15:45:50,栖霞区,自然环境,正面,6,6
"社区搞了个插花活动,玩得挺开心的。",2023-07-22 15:40:19,雨花台区,社会动态,正面,7,7
"今天去了总统府，历史的沧桑感扑面而来，很震撼。",2023-04-12 11:05:31,玄武区,文化遗产,正面,3,2
"今天去了江边的滨水公园，绿道设计得很棒，骑车散步都很舒服。",2023-10-09 16:25:18,建邺区,建成环境,正面,16,5
"新开的美食广场很不错，各种小吃应有尽有，味道也好。",2023-06-09 19:40:56,建邺区,社会动态,正面,4,4
"城市绿化做得越来越好了，路边的花草树木让人心情愉悦。",2023-05-06 11:25:40,鼓楼区,建成环境,正面,53,2
"社区举办的手工艺课程很受欢迎，老年人乐在其中。",2023-07-14 10:00:26,玄武区,社会动态,正面,3,1
"电动车违规上路现象严重,交通很混乱。",2023-10-14 18:20:41,建邺区,城市交通,负面,39,2
"十字路口的交通指示牌模糊不清，容易造成混乱。",2023-05-13 08:35:58,玄武区,城市交通,负面,9,7
"今天去了夫子庙，虽然是老地方了，但每次来都有不同的感受。",2023-10-13 16:55:32,秦淮区,文化遗产,正面,5,5
"参加了江豚保护活动,提高了环保意识。",2023-03-18 13:15:53,建邺区,自然环境,正面,3,3
"马路上的减速带太多了,开车很不舒服。",2023-05-15 11:25:30,鼓楼区,城市交通,负面,2,2
"参加了社区举办的环保讲座,学到了很多知识。",2023-03-17 15:35:54,江宁区,社会动态,正面,6,5
"今天去了大报恩寺遗址公园，感受到了南京深厚的文化底蕴。",2023-07-19 11:25:38,秦淮区,文化遗产,正面,5,5
"新建的城市空中花园很惊艳，都市丛林感十足。",2023-05-19 17:30:53,鼓楼区,建成环境,正面,6,6
"新开的图书馆藏书很丰富。",2023-11-30 16:50:42,雨花台区,社会动态,正面,8,6
"小区里有人半夜打麻将,吵得睡不着觉。邻里之间要互相体谅啊。",2023-10-27 23:40:37,玄武区,社会动态,负面,2,2
"社区举办的旗袍秀挺有意思，老年人的生活也很精彩。",2023-09-25 15:45:36,玄武区,社会动态,正面,7,7
"房租又涨了,压力山大。在这座城市生活真不容易。",2023-06-02 19:45:13,建邺区,经济因素,负面,7,2
"地铁站的无障碍设施不够完善,不方便行动不便的人。",2023-07-25 10:55:46,玄武区,建成环境,负面,8,6
"小区的高空抛物现象令人担忧，严重威胁居民安全。",2023-11-21 11:30:12,秦淮区,社会动态,负面,5,5
"小区健身器材坏了没人修,影响使用。",2023-11-26 09:45:13,秦淮区,社会动态,负面,6,6
"地铁站的自动售票机经常故障,买票很不方便。",2023-05-21 08:40:33,建邺区,城市交通,负面,2,2
"小区的垃圾分类还是做得不到位。",2023-11-09 14:35:22,江宁区,社会动态,负面,5,2
"江北新区的科技园发展得不错,吸引了不少高新企业。",2023-08-23 11:45:52,浦口区,经济因素,正面,7,7
"路边的共享充电宝总是没电,很烦人。",2023-03-09 20:55:18,鼓楼区,社会动态,负面,8,8
"小区里遛狗不牵绳的人越来越多了。",2023-06-17 08:55:39,秦淮区,社会动态,负面,6,6
"马路上汽车乱鸣笛,噪音污染严重。",2023-10-11 17:45:22,鼓楼区,城市交通,负面,4,3
"公园新增了不少健身器材,不错。",2023-06-13 07:55:28,建邺区,建成环境,正面,3,3
"清凉山的秋色真美，枫叶红了，银杏黄了，美不胜收。",2023-11-05 10:20:37,鼓楼区,自然环境,正面,40,8
"今天去了趟图书馆,环境真不错。",2023-07-27 13:15:48,建邺区,社会动态,正面,7,7
"今天去看了樱花，美得不要不要的，赏花的人也不少呢。",2023-03-23 14:50:33,玄武区,自然环境,正面,3,3
"公交车站的电子屏经常失灵，乘车很不方便。",2023-08-17 16:30:52,玄武区,城市交通,负面,12,2
"运河边的休闲步道很舒适，散步好去处。",2023-08-26 18:05:33,栖霞区,建成环境,正面,1,1
"闹市区的车位实在太少，找车位太困难了。",2023-09-17 11:55:29,鼓楼区,城市交通,负面,8,6
"今天参加了公司组织的团建活动,玩得挺开心。偶尔放松一下挺好。",2023-08-25 20:15:43,玄武区,社会动态,正面,6,6
"老门东的小吃一条街真是越来越有特色了。",2023-09-20 12:45:36,秦淮区,文化遗产,正面,7,4
"参加了社区组织的读书会，大家讨论很热烈，收获颇丰。",2023-04-08 19:50:27,鼓楼区,社会动态,正面,4,4
"老字号的特色小吃还是那么受欢迎，文化魅力。",2023-03-21 12:35:51,秦淮区,文化遗产,正面,2,2
"参加了今天的创业讲座，收获颇丰，对未来充满了信心。",2023-08-03 15:55:28,江宁区,经济因素,正面,1,1
"小区的高空抛物现象还是存在，安全隐患大。",2023-11-01 15:25:19,建邺区,社会动态,负面,13,13
"主干道的交通信号灯设置不合理，经常造成拥堵。",2023-03-15 07:55:22,建邺区,城市交通,负面,7,7
"今天去看了红枫，层林尽染，美不胜收，秋天真是个赏景的好季节。",2023-11-18 13:45:51,栖霞区,自然环境,正面,8,8
"路边新开了家小店,东西挺有特色的。支持一下小本生意。",2023-05-03 15:50:24,鼓楼区,经济因素,正面,2,2
"公交车准点到达,体验不错。",2023-09-19 08:30:45,玄武区,城市交通,正面,5,5
"网约车管控太严,打车越来越难了。",2023-09-26 18:40:52,鼓楼区,城市交通,负面,6,6
"房租又涨了,这日子没法过了...",2023-06-02 19:45:13,建邺区,经济因素,负面,6,6
"今天参加了社区组织的义诊活动,很方便。这种便民服务要多一些。",2023-07-14 10:35:19,江宁区,社会动态,正面,3,3
"最近物价涨得厉害,工资却原地踏步。生活成本真高啊。",2023-10-30 11:40:32,玄武区,经济因素,负面,17,4
"垃圾分类太复杂了,很困扰。",2023-10-01 09:40:52,江宁区,社会动态,负面,26,6
"博物院新展太震撼了！巧夺天工的文物让人叹为观止，不愧是六朝古都。",2023-06-11 11:37:42,玄武区,文化遗产,正面,4,4
"今天在家做了顿丰盛的晚餐,和家人一起享用,很幸福。",2023-09-29 19:40:28,建邺区,社会动态,正面,6,3
"小区里的车位不足,经常为停车问题发愁。",2023-09-02 19:40:37,雨花台区,建成环境,负面,4,1
"社区义诊真是太方便了,点赞!",2023-02-14 09:50:18,栖霞区,社会动态,正面,3,1
"新开的科技馆很棒,孩子们都很喜欢。",2023-08-08 13:30:47,建邺区,社会动态,正面,9,1
"共享电动车乱停乱放，有关部门该管管了。",2023-06-16 08:00:27,江宁区,城市交通,负面,8,7
"小区物业费又涨了,但服务质量没提升。",2023-10-25 09:55:28,雨花台区,社会动态,负面,13,13
"主城区的air质量下降,对健康很不利。",2023-07-29 11:50:22,玄武区,自然环境,负面,16,7
"闹市区的烧烤摊太多,油烟污染严重。",2023-07-12 21:30:41,秦淮区,社会动态,负面,7,7
"长江大桥的夜景太美了，桥上的灯光倒映在江面上，美极了！",2023-08-05 21:15:47,鼓楼区,建成环境,正面,5,5
"今天去逛了1912，店铺一如既往的热闹，感觉城市的活力。",2023-11-03 19:30:16,鼓楼区,社会动态,正面,2,2
"今天和朋友一起做义工,感觉很有意义。多为社会做点贡献挺好。",2023-03-11 14:40:52,雨花台区,社会动态,正面,6,6
"江宁大学城周边的创业氛围真浓厚，年轻人为梦想打拼，未来可期！",2023-03-18 10:15:37,江宁区,经济因素,正面,4,4
"闹市区的广告牌太多太乱，严重影响市容。",2023-05-23 13:30:24,秦淮区,建成环境,负面,3,3
"图书馆环境真不错,学习氛围很好。",2023-03-07 13:40:36,鼓楼区,社会动态,正面,18,3
"早茶文化越来越兴盛了，周末和朋友一起品茶聊天，享受慢生活。",2023-04-22 09:20:15,鼓楼区,社会动态,正面,7,7
"城市绿道网络越来越完善，方便市民健身。",2023-04-24 06:50:42,江宁区,建成环境,正面,6,2
"江宁大学城周边的房租又涨了,学生压力大。",2023-03-14 11:50:38,江宁区,经济因素,负面,5,5
"今天去了趟科技馆,展品很有趣。",2023-07-23 15:15:53,建邺区,社会动态,正面,7,4
"图书馆新增了很多新书,不错。",2023-06-21 13:25:38,鼓楼区,社会动态,正面,20,4
"参加了社区的太极班，老年人的生活真是丰富多彩。",2023-05-28 09:30:52,玄武区,社会动态,正面,56,49
"共享单车乱停乱放,影响市容。",2023-06-28 16:50:39,建邺区,城市交通,负面,5,5
"楼下的广场舞噪音太大了。",2023-03-05 20:20:43,鼓楼区,社会动态,负面,12,12
"地铁站的电梯又坏了,出行不方便。",2023-07-18 08:45:53,玄武区,城市交通,负面,2,1
"新建的图书馆很气派,藏书也很丰富。",2023-03-09 14:25:47,鼓楼区,建成环境,正面,8,8
"城市微型消防站的设立很有必要，提高了安全系数。",2023-04-18 13:40:42,建邺区,建成环境,正面,9,5
"电动自行车横冲直撞，安全隐患太大了。",2023-07-02 09:30:13,鼓楼区,城市交通,负面,8,3
"地铁里有人大声打电话,真没素质。公共场合要讲文明啊。",2023-07-05 17:35:26,鼓楼区,社会动态,负面,8,8
"市中心的停车费太贵了，出行成本越来越高。",2023-08-22 12:25:47,玄武区,经济因素,负面,6,6
"今天去了老城南，那些老房子真是看不够，充满了历史感。",2023-03-31 11:25:39,秦淮区,文化遗产,正面,4,3
"今天去了老字号，尝了传统小吃，味道还是那么地道！",2023-09-17 12:50:33,秦淮区,文化遗产,正面,10,3
"今天下雨,地铁里都是湿漉漉的伞。大家互相体谅一下吧。",2023-07-12 08:15:33,鼓楼区,社会动态,中性,5,3
"楼下装修吵死了!睡不了觉啊!",2023-09-18 10:20:36,秦淮区,社会动态,负面,40,6
"主城区的噪音污染越来越严重,睡眠质量下降。",2023-08-03 22:35:22,鼓楼区,社会动态,负面,3,3
"新开的科技馆互动性很强，孩子们玩得不亦乐乎。",2023-07-24 14:40:19,建邺区,社会动态,正面,48,2
"半夜遛狗吵得睡不着,真是困扰。",2023-09-09 23:55:46,雨花台区,社会动态,负面,20,13
"城市书房计划不错，阅读氛围越来越浓了。",2023-06-28 14:20:36,鼓楼区,文化遗产,正面,3,3
"遛狗不牵绳真的很危险。",2023-06-19 09:20:51,建邺区,社会动态,负面,5,2
"社区图书馆新增了不少绘本，孩子们可喜欢了。",2023-08-10 15:50:39,建邺区,社会动态,正面,2,2
"参加了社区的义务植树活动，为美化环境出一份力很有成就感。",2023-03-12 10:10:26,江宁区,社会动态,正面,6,1
"城市书房越来越多，阅读氛围很浓厚。",2023-09-23 14:40:58,鼓楼区,文化遗产,正面,3,3
"主城区停车位紧张，地下车库价格又贵又难找。",2023-11-03 18:30:13,秦淮区,城市交通,负面,8,8
"老山国家森林公园空气真好,周末去徒步很舒服。",2023-07-30 10:40:14,江宁区,自然环境,正面,21,8
"垃圾分类太麻烦了,每次都要想半天。能不能简化一下?",2023-09-03 08:55:29,江宁区,社会动态,负面,4,4
"十字路口的红绿灯坏了,太危险了。",2023-07-07 08:30:55,秦淮区,城市交通,负面,8,2
"路边的共享单车越堆越多,严重影响市容。有关部门要管一管了。",2023-06-08 16:55:52,鼓楼区,城市交通,负面,15,15
"新开的创业园区真不错，给年轻人提供了很多机会。",2023-03-10 13:40:52,江宁区,经济因素,正面,2,2
"新的共享单车很方便，希望大家也能文明使用。",2023-06-13 16:45:22,建邺区,城市交通,正面,1,1
"物价涨得太快了,工资跟不上啊。",2023-10-30 11:40:32,玄武区,经济因素,负面,3,3
"今天公司组织了团建活动,玩得很开心。工作之余放松一下挺好。",2023-11-12 19:15:24,秦淮区,社会动态,正面,1,1
"参加了非遗文化展,感受到了传统文化的魅力。",2023-09-22 11:15:18,秦淮区,文化遗产,正面,4,4
"参加了社区举办的创业讲座,收获不少。",2023-07-15 14:40:19,江宁区,经济因素,正面,7,1
"社区举办的银发才艺大赛，老年人的才华令人惊叹。",2023-10-12 16:20:36,玄武区,社会动态,正面,13,13
"地铁5号线拥挤程度令人窒息，亟需增加车厢。",2023-03-17 08:35:42,建邺区,城市交通,负面,23,20
"秋天的栖霞山真是太美了，层林尽染，美不胜收！",2023-10-28 15:35:27,栖霞区,自然环境,正面,6,6
"新建的滨江公园很漂亮，夜景尤其迷人。",2023-03-30 20:50:19,江宁区,建成环境,正面,4,2
"参加了古城墙上的中秋赏月活动,很有意境。",2023-09-29 20:15:51,玄武区,文化遗产,正面,8,3
"体检排队排太久了,效率太低。",2023-11-15 10:30:24,鼓楼区,社会动态,负面,6,6
"又堵车了,烦死了!这交通啥时候能好啊?",2023-03-15 08:30:27,鼓楼区,城市交通,负面,10,8
"今天去图书馆看书,环境真好。这种免费资源要多加利用。",2023-03-07 13:40:36,鼓楼区,社会动态,正面,7,2
"地铁4号线的换乘设计很不合理,太绕了。",2023-11-19 07:55:22,鼓楼区,城市交通,负面,1,1
"地铁站的自动扶梯时常罢工，上下楼梯很累。",2023-07-01 07:00:27,鼓楼区,城市交通,负面,11,3
"菜市场买菜便宜又新鲜。",2023-09-23 10:55:43,建邺区,经济因素,正面,5,5
"小区举办的花卉展很漂亮。",2023-06-05 11:40:33,建邺区,社会动态,正面,20,4
"今天去了新开的美术馆，展览很精彩，艺术氛围浓厚。",2023-07-14 16:40:18,建邺区,文化遗产,正面,12,12
"做义工的感觉真不错。",2023-03-11 14:40:52,雨花台区,社会动态,正面,12,12
"油价又涨了,出行成本越来越高了。",2023-09-14 17:55:22,江宁区,经济因素,负面,7,7
"社区举办的电影放映活动不错。",2023-07-25 20:20:53,雨花台区,文化遗产,正面,8,2
"小区里的老年人活动设施不足,需要改善。",2023-05-09 11:25:17,秦淮区,社会动态,负面,14,3
"路边摊占道经营现象又开始增多，影响交通。",2023-04-27 18:50:18,江宁区,社会动态,负面,8,3
"秦淮河的水质改善很多,水更清了。",2023-07-09 08:35:26,秦淮区,自然环境,正面,4,4
"今天去了夫子庙灯会，人山人海，热闹非凡，过年气氛浓厚。",2023-01-21 20:05:41,秦淮区,文化遗产,正面,2,2
"参加了社区组织的手工课,很有意思。",2023-05-21 14:40:51,玄武区,社会动态,正面,4,4
"新开的夜市很热闹,丰富了夜间经济。",2023-08-15 20:50:42,建邺区,经济因素,正面,4,2
"网上办事平台总是出错,很不方便。",2023-08-28 11:30:49,建邺区,社会动态,负面,5,2
"今天去了老城南的小巷子，古朴的建筑让人仿佛回到了从前。",2023-08-29 11:30:52,秦淮区,文化遗产,正面,3,1
"路上遇到古装群演,挺有意思的。",2023-04-26 11:50:38,玄武区,文化遗产,正面,3,3
"菜价又涨了,生活成本越来越高。",2023-10-17 11:25:38,江宁区,经济因素,负面,4,4
"地铁里有人大声打电话,真没素质。",2023-07-05 17:35:26,鼓楼区,社会动态,负面,8,8
"今天去体检,排队等了好久。医疗资源还是紧张啊。",2023-11-15 10:30:24,鼓楼区,社会动态,负面,1,1
"非遗文化展很精彩，传统手工艺令人叹为观止。",2023-11-23 13:50:18,秦淮区,文化遗产,正面,6,4
"最近网购物流速度变慢了,严重影响生活。快递行业要提高效率啊。",2023-08-02 11:50:46,建邺区,经济因素,负面,18,18
"新开的创意园区很有特色，文艺青年的天地。",2023-06-05 14:40:19,江宁区,经济因素,正面,11,5
"新开的地铁站周边配套设施很完善，出行更方便了。",2023-11-08 08:10:17,江宁区,城市交通,正面,4,4
"新建的滨江公园很漂亮,是个放松的好去处。",2023-08-27 16:10:19,江宁区,建成环境,正面,8,8
